,id,imdbid,rating,title,year
0,8040,0392728,0,Roundhay Garden Scene,1888
1,5433,0000003,0,Pauvre Pierrot,1892
2,5444,0000014,0,Tables Turned on the Gardener,1895
3,6200,0132134,0,"Execution of Mary, Queen of Scots, The",1895
4,6199,0000012,0,"Arrival of a Train, The",1896
5,5406,0000131,0,Une nuit terrible,1896
6,5445,0223341,0,La fee aux choux,1896
7,4982,0000091,0,"House of the Devil, The",1896
8,5411,0224240,0,"Temptation of St. Anthony, The",1898
9,5410,0000211,0,"Astronomer&#39;s Dream; or, The Man in the Moon, The",1898
10,4978,0135696,0,Four Heads Are Better Than One,1898
11,4994,0000246,0,A Turn of the Century Illusionist,1899
12,5914,0000230,3,Cinderella,1899
13,4344,0000272,0,As Seen Through A Telescope (a.k.a The Professor and His Field Glass),1900
14,1594,0291476,0,Sherlock Holmes Baffled,1900
15,4343,0000304,0,Grandma&#39;s Reading Glass,1900
16,4993,0135453,0,"One-Man Band, The",1900
17,5069,0377995,0,Grandma Threading Her Needle,1900
18,4346,0000306,0,Hamlet ( Le Duel d&#39;Hamlet),1900
19,5438,0000313,0,Let Me Dream Again,1900
20,5446,0227438,0,"Doctor and the Monkey, The",1900
21,4271,0000300,0,"Enchanted Drawing, The",1900
22,5072,0230746,0,"Searching Ruins on Broadway, Galveston, for Dead Bodies",1900
23,4345,0257654,0,Explosion of a Motor Car (a.k.a The Dlights of Automobiling),1900
24,5500,0131934,0,Bluebeard,1901
25,5437,0258104,0,Reve et realite,1901
26,4995,0000359,0,L&#39;homme a la tete en caoutchouc,1901
27,5432,0367177,0,"Twentieth Century Tramp; or, Happy Hooligan and His Airship, The",1902
28,5431,0229024,0,Gulliver&#39;s Travels,1902
29,5443,0000413,0,Mephistopheles&#39; School of Magic,1902
30,1252,0000417,0,Le voyage dans la lune,1902
31,5063,0000455,0,"Music Lover, The",1903
32,1319,0000439,0,"Great Train Robbery, The",1903
33,5683,0189498,0,"Enchanted Well, The",1903
34,5002,0135180,0,"Infernal Boiling Pot, The",1903
35,5064,0223755,0,"Monster, The",1903
36,5404,0135179,0,"Living Playing Cards, The",1904
37,5224,0215664,0,"Cook in Trouble, The",1904
38,6135,0000499,0,Le voyage a travers l&#39;impossible,1904
39,5601,0135631,0,"Untamable Whiskers, The",1904
40,5003,0135690,0,"Scheming Gambler&#39;s Paradise, The",1905
41,5602,0215575,0,"Black Imp, The",1905
42,5024,0216016,0,"Mysterious Retort, The",1906
43,5603,0135122,0,"Hilarious Posters, The",1906
44,5684,0000567,0,"400 Tricks of the Devil, The",1906
45,5435,0000554,0,Humorous Phases of Funny Faces,1906
46,7215,1260944,0,"Consequence of Feminism, The",1906
47,6206,0449172,0,A Funny Shave,1906
48,1349,0000574,1,"Story of the Kelly Gang, The",1906
49,5615,0215817,0,Good Glue Sticks,1907
50,5223,0215737,0,"Eclipse: Courtship of the Sun and Moon, The",1907
51,6231,1802750,0,Unusual Cooking,1908
52,6211,0277596,1,Le barometre de la fidelite,1909
53,5635,0127948,0,"Devilish Tenant, The",1909
54,4409,0001009,2,"Princess Nicotine; or, The Smoke Fairy",1909
55,4983,0486978,0,Mobilier fidele,1910
56,1464,0232821,3,Tilly the Tomboy Visits the Poor,1910
57,5685,1515725,0,A Trip to Mars,1910
58,2005,0002281,0,"Invaders, The",1912
59,5357,0277865,0,Max and the Donkey,1912
60,2003,0002101,2,Cleopatra,1912
61,5915,0003424,0,Suspense,1913
62,5364,0003512,0,"Voyage of the Bourrichon Family, The",1913
63,4457,0003973,2,A Florida Enchantment,1914
64,1258,0004972,2,"Birth of a Nation, The",1915
65,5944,0006864,0,Intolerance: Love&#39;s Struggle Throughout the Ages,1916
66,2008,0006745,3,Gretchen the Greenhorn,1916
67,7004,0007361,3,Snow White,1916
68,5368,0007507,0,"Vagabond, The",1916
69,2014,0279914,3,Lady Windermere&#39;s Fan,1916
70,1981,0008652,3,A Tale of Two Cities,1917
71,1993,0008499,3,Rebecca of Sunnybrook Farm,1917
72,2015,0008519,0,A Romance of the Redwoods,1917
73,2019,0008489,2,"Raffles, the Amateur Cracksman",1917
74,1994,0008443,3,"Poor Little Rich Girl, The",1917
75,7108,0010281,3,Ich mochte kein Mann sein,1918
76,1996,0009682,3,Tarzan of the Apes,1918
77,2007,0009652,3,Stella Maris,1918
78,5441,0008844,0,Are Crooks Dishonest?,1918
79,2588,0009968,0,Broken Blossoms or The Yellow Man and the Girl,1919
80,2018,0010879,3,When the Clouds Roll by,1919
81,5948,0011870,3,Within Our Gates,1920
82,1306,0010323,0,"Cabinet of Dr. Caligari, The",1920
83,1991,0011588,3,Pollyanna,1920
84,5898,0012364,2,K&ouml;rkarlen (The Phantom Carriage),1921
85,1263,0012532,3,Orphans of the Storm,1921
86,3945,0012349,0,"Kid, The",1921
87,4204,0011979,3,"Blot, The",1921
88,1631,0013496,2,"Phantom, The",1922
89,2001,0013367,1,"Man from Beyond, The",1922
90,1307,0013442,2,"Nosferatu, eine Symphonie des Grauens",1922
91,5901,0013427,1,Nanook of the North,1922
92,5361,0012543,0,"Paleface, The",1922
93,1778,0013428,2,Nathan der Weise,1922
94,5958,0013140,3,Foolish Wives,1922
95,5967,0013086,3,"Dr. Mabuse, der Spieler - Ein Bild der Zeit",1922
96,3800,0013257,3,H&auml;xan: Witchcraft Through the Ages,1922
97,1961,0014429,0,Safety Last!,1923
98,5888,0013626,3,La souriante Madame Beudet,1923
99,1967,0014611,0,Why Worry?,1923
100,5949,0014341,0,Our Hospitality,1923
101,1998,0014469,2,"Silent Command, The",1923
102,2009,0015163,0,"Navigator, The",1924
103,1960,0015498,0,Wild Oranges,1924
104,2016,0014945,0,Girl Shy,1924
105,2020,0015116,3,Manhandled,1924
106,1338,0015174,2,Kriemhild&#39;s Revenge,1924
107,8458,0015881,3,Greed,1924
108,2011,0015324,0,Sherlock Jr.,1924
109,1337,0015175,2,Die Nibelungen,1924
110,6209,0013845,0,Help!,1924
111,1264,0015400,0,"Thief of Bagdad, The",1924
112,2413,1764657,0,"Great White Silence, The",1924
113,2012,0015841,0,"Freshman, The",1925
114,5962,0015624,2,"Big Parade, The",1925
