tconst,averageRating,numVotes,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,X1,id,imdbid,rating,title,year
tt0000003,6.6,1030,short,Pauvre Pierrot,Pauvre Pierrot,0,1892,,4,"Animation,Comedy,Romance",1,5433,0000003,0,Pauvre Pierrot,1892
tt0000012,7.4,8563,short,The Arrival of a Train,L'arrivée d'un train à La Ciotat,0,1896,,1,"Documentary,Short",4,6199,0000012,0,"Arrival of a Train, The",1896
tt0000014,7.2,3726,short,Tables Turned on the Gardener,L'arroseur arrosé,0,1895,,1,"Comedy,Short",2,5444,0000014,0,Tables Turned on the Gardener,1895
tt0000091,6.7,2192,short,The House of the Devil,Le manoir du diable,0,1896,,3,"Horror,Short",7,4982,0000091,0,"House of the Devil, The",1896
tt0000131,5.8,829,short,A Terrible Night,Une nuit terrible,0,1896,,1,"Comedy,Horror,Short",5,5406,0000131,0,Une nuit terrible,1896
tt0000211,7.5,2670,short,A Trip to the Moon,La lune à un mètre,0,1898,,3,"Comedy,Fantasy,Horror",9,5410,0000211,0,"Astronomer&#39;s Dream; or, The Man in the Moon, The",1898
tt0000230,6.5,1101,short,Cinderella,Cendrillon,0,1899,,6,"Drama,Fantasy,Short",12,5914,0000230,3,Cinderella,1899
tt0000246,6.5,790,short,A Turn of the Century Illusionist,L'impressionniste fin de siècle,0,1899,,1,Short,11,4994,0000246,0,A Turn of the Century Illusionist,1899
tt0000272,5.6,547,short,As Seen Through a Telescope,As Seen Through a Telescope,0,1900,,1,"Comedy,Short",13,4344,0000272,0,As Seen Through A Telescope (a.k.a The Professor and His Field Glass),1900
tt0000300,7,879,short,The Enchanted Drawing,The Enchanted Drawing,0,1900,,2,"Animation,Comedy,Fantasy",21,4271,0000300,0,"Enchanted Drawing, The",1900
tt0000304,6,836,short,Grandma's Reading Glass,Grandma's Reading Glass,0,1900,,2,Short,15,4343,0000304,0,Grandma&#39;s Reading Glass,1900
tt0000306,5.5,138,short,Le duel d'Hamlet,Le duel d'Hamlet,0,1900,,2,"Drama,Short",18,4346,0000306,0,Hamlet ( Le Duel d&#39;Hamlet),1900
tt0000313,5.9,559,short,Let Me Dream Again,Let Me Dream Again,0,1900,,1,"Comedy,Short",19,5438,0000313,0,Let Me Dream Again,1900
tt0000359,7.2,2080,short,The India Rubber Head,L'homme à la tête en caoutchouc,0,1901,,3,"Comedy,Short",26,4995,0000359,0,L&#39;homme a la tete en caoutchouc,1901
tt0000413,5.5,278,short,Mephistopheles' School of Magic,Les trésors de satan,0,1902,,3,"Comedy,Fantasy,Horror",29,5443,0000413,0,Mephistopheles&#39; School of Magic,1902
tt0000417,8.2,36950,short,A Trip to the Moon,Le voyage dans la lune,0,1902,,13,"Adventure,Fantasy,Sci-Fi",30,1252,0000417,0,Le voyage dans la lune,1902
tt0000439,7.3,14490,short,The Great Train Robbery,The Great Train Robbery,0,1903,,11,"Action,Short,Western",32,1319,0000439,0,"Great Train Robbery, The",1903
tt0000455,6.9,1485,short,The Music Lover,Le mélomane,0,1903,,3,"Comedy,Music,Short",31,5063,0000455,0,"Music Lover, The",1903
tt0000499,7.7,2700,short,An Impossible Voyage,Le voyage à travers l'impossible,0,1904,,24,"Adventure,Fantasy,Sci-Fi",38,6135,0000499,0,Le voyage a travers l&#39;impossible,1904
tt0000554,6.2,910,short,Humorous Phases of Funny Faces,Humorous Phases of Funny Faces,0,1906,,3,"Animation,Comedy,Family",45,5435,0000554,0,Humorous Phases of Funny Faces,1906
tt0000567,6.8,740,short,The 400 Tricks of the Devil,Les quatre cents farces du diable,0,1906,,17,"Fantasy,Horror,Short",44,5684,0000567,0,"400 Tricks of the Devil, The",1906
tt0000574,6.3,479,movie,The Story of the Kelly Gang,The Story of the Kelly Gang,0,1906,,70,"Biography,Crime,Drama",48,1349,0000574,1,"Story of the Kelly Gang, The",1906
tt0001009,6.6,760,short,"Princess Nicotine; or, The Smoke Fairy","Princess Nicotine; or, The Smoke Fairy",0,1909,,5,"Comedy,Fantasy,Short",54,4409,0001009,2,"Princess Nicotine; or, The Smoke Fairy",1909
